행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
부산광역시 기장군 (2671000000),"16,588","17,734","19,069","21,311","22,711","23,975","26,544","27,866","29,077","30,037","56,606","60,024","62,810","65,738","67,970","69,136","74,649","76,853","78,736","79,746",부산광역시 기장군 ,2671000000,부산광역시,기장군 ,0.3
대구광역시 중구 (2711000000),"17,036","17,555","17,571","17,692","18,476","18,835","19,935","19,506","20,250","21,752","37,220","38,294","37,987","37,856","38,619","38,418","39,111","38,370","40,749","44,871",대구광역시 중구 ,2711000000,대구광역시,중구 ,0.217
대구광역시 동구 (2714000000),"46,115","48,194","50,438","52,500","55,371","57,023","61,081","63,294","64,677","66,645","141,918","144,403","147,154","148,719","152,370","152,545","155,865","158,423","159,422","162,691",대구광역시 동구 ,2714000000,대구광역시,동구 ,0.665
대구광역시 서구 (2717000000),"33,244","33,881","34,201","34,392","34,752","34,657","36,755","37,337","37,369","38,681","90,413","89,896","88,468","86,738","85,142","82,733","83,437","82,301","81,116","83,949",대구광역시 서구 ,2717000000,대구광역시,서구 ,0.386
대구광역시 남구 (2720000000),"31,802","32,461","32,641","33,039","34,486","35,774","38,524","39,266","39,912","39,937","75,028","74,949","73,979","73,442","74,134","74,588","76,582","76,256","76,401","75,887",대구광역시 남구 ,2720000000,대구광역시,남구 ,0.398
대구광역시 북구 (2723000000),"46,919","48,690","50,882","53,462","56,149","59,071","65,352","69,607","73,322","74,836","167,760","169,568","171,181","174,617","177,162","180,115","187,494","190,956","192,697","191,349",대구광역시 북구 ,2723000000,대구광역시,북구 ,0.747
대구광역시 수성구 (2726000000),"40,282","41,785","42,378","43,604","45,936","47,631","52,032","53,738","55,004","56,233","165,197","165,786","165,392","164,900","165,843","167,040","170,870","171,239","171,480","171,939",대구광역시 수성구 ,2726000000,대구광역시,수성구 ,0.561
대구광역시 달서구 (2729000000),"57,381","59,797","62,204","64,452","68,504","73,162","78,755","81,863","84,747","86,853","224,083","225,889","225,643","224,583","227,966","231,978","235,303","234,950","235,883","235,685",대구광역시 달서구 ,2729000000,대구광역시,달서구 ,0.866
대구광역시 달성군 (2771000000),"19,110","21,406","24,701","28,659","30,422","32,199","35,268","37,548","38,852","40,104","68,999","73,575","84,416","95,898","100,030","103,834","107,965","111,398","113,125","114,189",대구광역시 달성군 ,2771000000,대구광역시,달성군 ,0.4
인천광역시 중구 (2811000000),"21,243","22,037","22,901","24,688","27,126","31,109","33,295","34,830","37,150","39,258","49,874","51,240","52,218","54,525","57,887","65,002","68,379","71,061","75,960","79,520",인천광역시 중구 ,2811000000,인천광역시,중구 ,0.392
인천광역시 동구 (2814000000),"10,582","10,435","10,556","10,780","10,700","11,022","11,511","11,590","11,062","11,247","30,776","30,371","30,081","29,870","28,952","28,739","28,777","28,681","27,618","28,091",인천광역시 동구 ,2814000000,인천광역시,동구 ,0.112
인천광역시 남구 (2817000000),"61,773","62,616","65,348","68,615","71,349","74,129","78,906","83,179","84,749","86,077","171,507","171,888","178,444","182,292","184,275","184,872","188,277","193,561","194,841","196,607",인천광역시 남구 ,2817000000,인천광역시,남구 ,0.859
인천광역시 미추홀구 (2817700000),"61,773","62,616","65,348","68,615","71,349","74,129","78,906","83,179","84,749","86,077","171,507","171,888","178,444","182,292","184,275","184,872","188,277","193,561","194,841","196,607",인천광역시 미추홀구 ,2817700000,인천광역시,미추홀구 ,0.859
인천광역시 연수구 (2818500000),"28,870","30,274","32,121","33,375","35,700","40,558","45,698","48,414","49,336","50,816","112,015","115,920","120,580","123,913","129,806","140,700","152,266","155,984","156,047","159,905",인천광역시 연수구 ,2818500000,인천광역시,연수구 ,0.507
인천광역시 남동구 (2820000000),"60,041","63,439","64,809","67,228","71,668","75,002","80,674","85,587","87,114","88,417","199,768","208,231","209,885","214,280","218,945","221,455","225,394","228,442","226,763","224,268",인천광역시 남동구 ,2820000000,인천광역시,남동구 ,0.882
인천광역시 부평구 (2823700000),"65,329","65,667","66,024","66,466","68,001","70,080","73,454","77,337","80,376","83,659","216,336","217,217","216,492","215,192","212,906","211,851","211,305","213,372","217,924","223,271",인천광역시 부평구 ,2823700000,인천광역시,부평구 ,0.835
인천광역시 계양구 (2824500000),"36,209","36,008","36,591","36,854","37,911","39,146","41,501","44,994","45,726","46,473","128,138","127,063","126,963","125,936","124,281","123,283","124,421","127,984","127,201","125,640",인천광역시 계양구 ,2824500000,인천광역시,계양구 ,0.464
인천광역시 서구 (2826000000),"52,514","53,992","55,824","59,115","65,007","68,968","74,243","79,560","85,281","91,788","186,599","190,119","194,008","199,152","211,847","217,887","223,229","232,834","248,741","266,168",인천광역시 서구 ,2826000000,인천광역시,서구 ,0.916
인천광역시 강화군 (2871000000),"11,700","11,960","12,277","12,873","13,467","13,959","14,611","15,081","15,444","15,552","30,184","30,703","31,106","31,869","32,556","33,163","33,915","34,667","35,114","35,005",인천광역시 강화군 ,2871000000,인천광역시,강화군 ,0.155
인천광역시 옹진군 (2872000000),"6,151","6,259","6,584","6,815","6,777","6,848","7,189","7,277","7,622","7,667","11,083","11,252","11,622","11,888","11,746","11,689","11,993","12,061","12,423","12,437",인천광역시 옹진군 ,2872000000,인천광역시,옹진군 ,0.076
광주광역시 동구 (2911000000),"20,826","20,968","20,878","20,982","21,211","22,294","24,250","25,455","26,531","27,392","46,153","45,860","45,095","45,341","45,452","47,885","51,029","52,362","54,072","55,283",광주광역시 동구 ,2911000000,광주광역시,동구 ,0.273
광주광역시 서구 (2914000000),"37,684","39,326","41,137","42,579","45,390","48,193","51,781","54,617","56,124","57,136","119,658","120,107","123,500","124,663","126,751","128,783","131,373","132,808","133,554","133,816",광주광역시 서구 ,2914000000,광주광역시,서구 ,0.57
광주광역시 남구 (2915500000),"26,536","27,282","27,915","28,720","30,190","32,206","33,959","36,091","36,978","37,089","85,996","87,473","87,879","88,605","89,574","92,233","93,295","95,722","95,868","95,417",광주광역시 남구 ,2915500000,광주광역시,남구 ,0.37
광주광역시 북구 (2917000000),"56,677","59,101","60,412","62,149","65,502","69,771","75,238","80,063","83,010","84,929","176,440","178,735","178,956","180,682","184,617","187,015","191,997","195,695","198,085","199,280",광주광역시 북구 ,2917000000,광주광역시,북구 ,0.847
광주광역시 광산구 (2920000000),"40,572","42,896","44,890","46,639","49,370","52,531","57,278","60,449","62,715","64,136","144,796","148,252","151,034","153,527","156,713","160,569","165,888","169,125","170,776","171,637",광주광역시 광산구 ,2920000000,광주광역시,광산구 ,0.64
대전광역시 동구 (3011000000),"35,907","36,575","37,596","39,246","41,518","43,478","46,261","48,519","50,037","51,154","101,512","100,635","100,398","100,677","102,632","104,064","105,729","107,832","108,640","108,996",대전광역시 동구 ,3011000000,대전광역시,동구 ,0.51
대전광역시 중구 (3014000000),"33,361","34,230","35,516","37,289","39,223","41,294","43,734","45,057","45,938","46,017","103,669","103,285","103,681","104,509","105,270","106,379","107,626","107,609","107,692","106,885",대전광역시 중구 ,3014000000,대전광역시,중구 ,0.459
대전광역시 서구 (3017000000),"55,116","57,255","60,781","64,877","69,227","74,155","81,188","86,075","90,045","92,365","187,921","189,068","192,834","196,016","199,689","203,754","209,931","213,592","216,539","217,305",대전광역시 서구 ,3017000000,대전광역시,서구 ,0.921
대전광역시 유성구 (3020000000),"36,106","38,673","41,947","45,435","48,886","52,840","58,280","62,630","66,047","69,497","121,857","126,969","132,464","137,514","141,533","145,305","151,292","155,450","160,305","166,767",대전광역시 유성구 ,3020000000,대전광역시,유성구 ,0.693
대전광역시 대덕구 (3023000000),"23,350","23,888","24,605","25,157","26,277","27,480","29,608","31,652","32,415","33,252","77,549","77,051","76,760","75,923","75,841","75,841","78,205","79,934","80,253","80,308",대전광역시 대덕구 ,3023000000,대전광역시,대덕구 ,0.332
울산광역시 중구 (3111000000),"27,525","28,787","28,872","29,423","29,664","30,633","32,096","33,691","34,183","35,048","92,545","95,710","95,673","95,386","94,102","93,062","93,212","93,633","93,055","94,372",울산광역시 중구 ,3111000000,울산광역시,중구 ,0.35
